2020-04-09 11:02:31 
Start install: C:\server\www\shopclear\tmp\JoomShopping_black_template_QS_1.0.1.zip IP:127.0.0.1 UID:567
2020-04-09 11:02:31 Copy file: /InstallHelper.php
2020-04-09 11:02:31 Copy file: /components/com_jshopping/addons/addon_joomshopping_black_template/uninstall.php
2020-04-09 11:02:31 Copy file: /images/joomshoppingpdemo.png
2020-04-09 11:02:31 Copy file: /language/de-DE/de-DE.mod_jshopping_bestseller_products.ini
2020-04-09 11:02:31 Copy file: /language/de-DE/de-DE.mod_jshopping_cart_ext.ini
2020-04-09 11:02:31 Copy file: /language/de-DE/de-DE.mod_jshopping_categories.ini
2020-04-09 11:02:31 Copy file: /language/de-DE/de-DE.mod_jshopping_label_products.ini
2020-04-09 11:02:31 Copy file: /language/de-DE/de-DE.mod_jshopping_latest_products.ini
2020-04-09 11:02:31 Copy file: /language/de-DE/de-DE.mod_jshopping_manufacturers.ini
2020-04-09 11:02:31 Copy file: /language/de-DE/de-DE.mod_jshopping_search.ini
2020-04-09 11:02:31 Copy file: /language/de-DE/de-DE.mod_jshopping_top_rating.ini
2020-04-09 11:02:31 Copy file: /language/de-DE/de-DE.mod_jshopping_tophits_products.ini
2020-04-09 11:02:31 Copy file: /language/de-DE/de-DE.mod_jshopping_wishlist.ini
2020-04-09 11:02:31 Copy file: /language/en-GB/en-GB.mod_jshopping_bestseller_products.ini
2020-04-09 11:02:31 Copy file: /language/en-GB/en-GB.mod_jshopping_cart_ext.ini
2020-04-09 11:02:31 Copy file: /language/en-GB/en-GB.mod_jshopping_categories.ini
2020-04-09 11:02:31 Copy file: /language/en-GB/en-GB.mod_jshopping_label_products.ini
2020-04-09 11:02:31 Copy file: /language/en-GB/en-GB.mod_jshopping_latest_products.ini
2020-04-09 11:02:31 Copy file: /language/en-GB/en-GB.mod_jshopping_manufacturers.ini
2020-04-09 11:02:31 Copy file: /language/en-GB/en-GB.mod_jshopping_search.ini
2020-04-09 11:02:31 Copy file: /language/en-GB/en-GB.mod_jshopping_top_rating.ini
2020-04-09 11:02:31 Copy file: /language/en-GB/en-GB.mod_jshopping_tophits_products.ini
2020-04-09 11:02:31 Copy file: /language/en-GB/en-GB.mod_jshopping_wishlist.ini
2020-04-09 11:02:31 Copy file: /language/ru-RU/ru-RU.mod_jshopping_bestseller_products.ini
2020-04-09 11:02:31 Copy file: /language/ru-RU/ru-RU.mod_jshopping_cart_ext.ini
2020-04-09 11:02:31 Copy file: /language/ru-RU/ru-RU.mod_jshopping_categories.ini
2020-04-09 11:02:31 Copy file: /language/ru-RU/ru-RU.mod_jshopping_label_products.ini
2020-04-09 11:02:31 Copy file: /language/ru-RU/ru-RU.mod_jshopping_latest_products.ini
2020-04-09 11:02:31 Copy file: /language/ru-RU/ru-RU.mod_jshopping_manufacturers.ini
2020-04-09 11:02:31 Copy file: /language/ru-RU/ru-RU.mod_jshopping_search.ini
2020-04-09 11:02:31 Copy file: /language/ru-RU/ru-RU.mod_jshopping_top_rating.ini
2020-04-09 11:02:31 Copy file: /language/ru-RU/ru-RU.mod_jshopping_tophits_products.ini
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_bestseller_products/helper.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_bestseller_products/mod_jshopping_bestseller_products.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_bestseller_products/mod_jshopping_bestseller_products.xml
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_bestseller_products/element/categories.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_bestseller_products/tmpl/default.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_cart_ext/mod_jshopping_cart_ext.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_cart_ext/mod_jshopping_cart_ext.xml
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_cart_ext/tmpl/default.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_categories/helper.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_categories/mod_jshopping_categories.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_categories/mod_jshopping_categories.xml
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_categories/tmpl/default.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_currencies/mod_jshopping_currencies.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_currencies/mod_jshopping_currencies.xml
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_currencies/tmpl/default.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_label_products/helper.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_label_products/mod_jshopping_label_products.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_label_products/mod_jshopping_label_products.xml
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_label_products/element/labels.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_label_products/tmpl/default.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_latest_products/helper.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_latest_products/mod_jshopping_latest_products.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_latest_products/mod_jshopping_latest_products.xml
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_latest_products/element/categories.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_latest_products/tmpl/default.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_manufacturers/mod_jshopping_manufacturers.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_manufacturers/mod_jshopping_manufacturers.xml
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_manufacturers/tmpl/default.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_search/helper.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_search/mod_jshopping_search.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_search/mod_jshopping_search.xml
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_search/element/categories.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_search/tmpl/default.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_top_rating/mod_jshopping_top_rating.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_top_rating/mod_jshopping_top_rating.xml
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_top_rating/css/default.css
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_top_rating/tmpl/default.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_tophits_products/helper.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_tophits_products/mod_jshopping_tophits_products.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_tophits_products/mod_jshopping_tophits_products.xml
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_tophits_products/css/default.css
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_tophits_products/element/categories.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_tophits_products/tmpl/default.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_wishlist/mod_jshopping_wishlist.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_wishlist/mod_jshopping_wishlist.xml
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_wishlist/tmpl/default.php
2020-04-09 11:02:31 Copy file: /modules/mod_recent_comments/mod_recent_comments.php
2020-04-09 11:02:31 Copy file: /modules/mod_recent_comments/mod_recent_comments.xml
